paradigm,basin_id,frac_snow,snow_regime,xaj_k,xaj_b,xaj_im,xaj_um,xaj_lm,xaj_dm,xaj_c,xaj_sm,xaj_ex,xaj_ki,xaj_kg,xaj_ci,xaj_cg,xaj_a,xaj_theta,D,D_rms
IC,01022500,0.2452590092482709,S3,0.0058858933307986997,0.78282196310018015,0,0,0.067702341336396896,0,0.1172981875212511,0.15428404618458991,0.033027143154731403,-0.30217286757850648,-0.61248161276616231,-0.63965055640048285,-0.64288429787536905,0.1731848023957003,-0.060909770018318501,1.4066555722928433,0.36319690702266966
IC,01031500,0.29183647300195792,S3,-0.062231624149194399,-0.062328514634781701,0,1,0,0,0.38799309727397852,-0.30462745439583128,-0.028777084647999902,0.25321099313743839,0,0.21837493548317941,-0.37918588512703028,-0.50206884066036606,0,1.3264918939142245,0.3424987342672618
IC,01047000,0.28011812694073601,S3,-0.055280855410161797,-0.062600855246982196,0,0,0.072139494140136401,0,0.99306185463435959,-0.25191756012953231,-0.13518830459310191,0.1528618878954881,0,0.048552598036727797,-0.27172689877743361,-0.2242822117811317,0,1.109031675916095,0.28635074741596911
IC,01052500,0.35269825404932592,S4,-0.20524495699491541,-0.093589150621477699,-0.25621939264881211,0,0.82915425442935387,0,-0.82324347283242205,-1,-1,0.92202738410304441,0.83181491525562623,0.42549749143507859,0.4185662835730698,-0.15339665968798849,0,2.3245615342032746,0.60019920728024301
IC,01054200,0.29964153966287888,S3,-0.013737394029906499,-0.024095786859548302,0.016729005012595,0,0,0,0,-0.066193691269037999,0.65313822644365727,0,0,0.034959410625524802,0,0,0,0.65821158493671006,0.16994950044937779
IC,01055000,0.30604885169486701,S4,-0.033901876527343097,0.085240035710664505,0,1,-0.61888823536932991,-1,-0.99306503306302962,0.010936444857156899,0.0098544950079945993,-0.71479946255256765,0,-0.74442378843984025,0.60743642876709747,0,0,2.1936081667068379,0.5663871931840111
IC,01057000,0.25115767276909801,S3,-0.033997580341475098,-0.22770939347687849,0,0,1,-0.078284095144511207,-1,-0.1152596974074398,-0.050154401916947498,0.1161483935396305,-0.090288423757335007,0.070094046108622104,0.42897867966194547,-0.25114241879191801,0,1.5325100035513111,0.39569238144336644
IC,01073000,0.1750324350517399,S3,0.00012583121375430001,0.056811738378597897,0,0,0.0330972358729874,0,0.64839336644199852,-0.29785144464281721,-0.89896107611834075,0.076000859315396102,-0.045678835106177901,0.035188269116702198,-0.47206834004696951,0.0179106289022864,0,1.2465366752528035,0.32185438557939139
IC,01078000,0.23971852199071,S3,0.0019529777927935,0.72312227333989354,0,0,0.28544744986283233,0,0,0.02278029242521,0.60884905355526731,-0.73429301460459184,-0.068041353187971207,-0.40230810219546648,-0.90312243410873205,0.2613318715802786,-0.044613849938497901,1.6022448422532576,0.41369783937290638
IC,01123000,0.136053399026134,S2,0.017435921524645799,0.21826239458558711,0,0,0,0,-1,-0.069096742875825304,0,-0.0107035628133265,-0.21995205168864909,0.12578614156251519,-0.20993626473682411,0.57632365155778364,-0.19606052727842271,1.2376164130242726,0.31955118377573116
IC,01134500,0.28058208922815092,S3,-0.24015690560401121,-0.22326139896511321,0.22037933366984061,0,0,0,0.25460888762017569,-0.4921033413684246,0,-0.0144099944900792,1,0.0295527399784913,0,0.067385426765805598,0,1.2118998451394067,0.3129111944997513
IC,01137500,0.301814975818189,S4,-0.026809000179317002,0.47208912864839991,0,0,1,0,0,0.14752415561833629,-0.77108077843634915,-0.4172673720329052,-0.96411161579122862,-0.73341078938691151,-0.62871892340659163,0,-0.2118348884000236,1.9803009794706654,0.51131151426454147
