basin_id,frac_snow,snow_stratum
01022500,0.245259009248271,S3
01031500,0.291836473001958,S3
01047000,0.280118126940736,S3
01052500,0.352698254049326,S4
01054200,0.299641539662879,S3
01055000,0.306048851694867,S4
01057000,0.251157672769098,S3
01073000,0.17503243505174,S3
01078000,0.23971852199071,S3
01123000,0.136053399026134,S2
01134500,0.280582089228151,S3
01137500,0.301814975818189,S4
01139000,0.246562671549799,S3
01139800,0.26232897318021,S3
01142500,0.252307890542821,S3
01144000,0.248466348504845,S3
01162500,0.226769184680043,S3
01169000,0.238972605896079,S3
01170100,0.234653735405934,S3
01181000,0.217563041040592,S3
01187300,0.201269335695146,S3
01195100,0.106042892091717,S2
04296000,0.273317826422307,S3
01333000,0.222244968016498,S3
01350000,0.231159657658639,S3
01350080,0.221156578322867,S3
01350140,0.219859026682811,S3
01365000,0.202270211093681,S3
01411300,0.0480948550351646,S1
01413500,0.216908033968228,S3
01414500,0.216628505016047,S3
01415000,0.213452184948768,S3
01423000,0.217830297712483,S3
01434025,0.23781373120698,S3
01435000,0.223616269388589,S3
01439500,0.163765228832016,S3
01440000,0.147767408338048,S2
01440400,0.172223371092882,S3
01451800,0.128362665991427,S2
01466500,0.0626617697616761,S2
01484100,0.042571686471381,S1
01487000,0.0424689894259026,S1
01491000,0.0500257211233794,S2
01510000,0.237057400622962,S3
01516500,0.199238597784613,S3
01518862,0.201111344911574,S3
01532000,0.176741266621108,S3
01539000,0.156285913306627,S3
01542810,0.189716485804691,S3
01543000,0.188056577083995,S3
01543500,0.181653610941671,S3
01544500,0.20336289315932,S3
01545600,0.192645540908709,S3
01547700,0.156172998266035,S3
01548500,0.202088630482319,S3
01549500,0.186519052942025,S3
01550000,0.179825512854574,S3
01552000,0.17305912288721,S3
01552500,0.185169707979555,S3
01557500,0.15867182381751,S3
01567500,0.126036065938383,S2
01568000,0.128510858031358,S2
01580000,0.0816880923954386,S2
01583500,0.0807286497637625,S2
01586610,0.088413478566147,S2
01591400,0.0838764227317032,S2
01594950,0.189214297334908,S3
01596500,0.188402157557544,S3
01605500,0.137136101417764,S2
01606500,0.148750518921295,S2
01632000,0.110024870103334,S2
01632900,0.0980763292373855,S2
01634500,0.114828393813144,S2
01638480,0.0845583823488279,S2
01639500,0.0961263501421113,S2
01644000,0.084351798741144,S2
01664000,0.0827964257846037,S2
01666500,0.0822553978033295,S2
01667500,0.0788117934771709,S2
01669000,0.0412059832430486,S1
01669520,0.0368199149910729,S1
02011400,0.129154721501962,S2
02013000,0.0979143372407574,S2
02014000,0.0978680841760858,S2
02015700,0.128567248718796,S2
02016000,0.102077363429123,S2
02017500,0.0901845265568014,S2
02018000,0.0849686144296571,S2
02027000,0.0904732223814793,S2
02027500,0.100786018307687,S2
02028500,0.0802569579048301,S2
02038850,0.0655225978510027,S2
02046000,0.0453728268084367,S1
02051500,0.0525514965704711,S2
02053200,0.0248316831845784,S1
02053800,0.0938172550300136,S2
