file,rows,sha256,basins,periods,date_start,date_end,status,model,paradigm,seed_or_restart,source_selection,checkpoint_epoch
/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_ic_xaj.parquet,5624352,da62cfc5aa8609a6a06b90d2ed4d3b872141ad0fd0d76b197180ac4960e18a1d,531,"['train', 'test']",1980-10-01,2010-09-30,complete,XAJ-Base,IC-CMA-ES,selected_restart,maximum train-period stored KGE; tie=min restart,
/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_ic_xaj_cn.parquet,5624352,7402877779786a5eb94feaccbaec3788e52783e280d6694322bc9a12dc060b37,531,"['train', 'test']",1980-10-01,2010-09-30,complete,XAJ-CN,IC-CMA-ES,selected_restart,maximum train-period stored KGE; tie=min restart,
/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_xaj_seed_42.parquet,5624352,2e60046b21c82cbf87fff019e41c4376b8fede8da610c0453303495825d4a55a,531,"['train', 'test']",1980-10-01,2010-09-30,complete,XAJ-Base,dPL-MLP,seed_42,best_checkpoint.pt is the existing authoritative seed artifact,90.0
/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_xaj_seed_123.parquet,5624352,6515ddb7eb1fb4caaf832a5a43ab5c99c2009c98c5c4648353d4ae2e837dcf3b,531,"['train', 'test']",1980-10-01,2010-09-30,complete,XAJ-Base,dPL-MLP,seed_123,best_checkpoint.pt is the existing authoritative seed artifact,60.0
/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_xaj_seed_2026.parquet,5624352,67bc017cb251067f4fd9d23f197ed851669b76ce2fa4c767f9e7e695e750ded7,531,"['train', 'test']",1980-10-01,2010-09-30,complete,XAJ-Base,dPL-MLP,seed_2026,best_checkpoint.pt is the existing authoritative seed artifact,40.0
/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_xaj_cn_seed_42.parquet,5624352,c812cdfc7a48b42ed2489f3a6ac2a4d82c4cdb2205ed58ae90a414b044348a6b,531,"['train', 'test']",1980-10-01,2010-09-30,complete,XAJ-CN,dPL-MLP,seed_42,best_checkpoint.pt is the existing authoritative seed artifact,50.0
/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_xaj_cn_seed_123.parquet,5624352,43def68370480af29428816d448934081563d6cb8e20be4060db2240ce31f7e4,531,"['train', 'test']",1980-10-01,2010-09-30,complete,XAJ-CN,dPL-MLP,seed_123,best_checkpoint.pt is the existing authoritative seed artifact,60.0
/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_xaj_cn_seed_2026.parquet,5624352,8aff11cadc7ea7dd08f9ecbeb43ea41e319097f1ed5c06fcc2360192623ab707,531,"['train', 'test']",1980-10-01,2010-09-30,complete,XAJ-CN,dPL-MLP,seed_2026,best_checkpoint.pt is the existing authoritative seed artifact,100.0
/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_42.parquet,5624352,11c90eb7667d53c839e925e1328d4370bee9d0129b37cc56aa31a65a4ad92eba,531,"['train', 'test']",1980-10-01,2010-09-30,complete,HBV,dPL-MLP,seed_42,best_checkpoint.pt is the existing authoritative seed artifact,80.0
/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_123.parquet,5624352,08df61245f6aa03f09c8cd664d8d90add8154ca647c125001f6845446ffd480b,531,"['train', 'test']",1980-10-01,2010-09-30,complete,HBV,dPL-MLP,seed_123,best_checkpoint.pt is the existing authoritative seed artifact,70.0
