paradigm,structure,kge_threshold,ct_threshold,denominator_type,numerator,conditional_denominator,conditional_prevalence,conditional_ci_low,conditional_ci_high,all_valid_denominator,joint_prevalence,joint_ci_low,joint_ci_high,n_kge_pass,fraction_kge_pass,n_ct_acceptable,fraction_ct_acceptable,n_timing_large,fraction_timing_large
IC-CMA-ES,Base,0.4,10,structure_specific,146,425,0.34352941176470586,0.30176914803029625,0.3867844557908741,531,0.2749529190207156,0.24105461393596986,0.30983992467043314,425,0.800376647834275,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.4,10,common_all_structures_pass,144,415,0.3469879518072289,0.303930608918384,0.39016949152542374,531,0.2711864406779661,nan,nan,415,0.7815442561205274,271,0.653012048192771,144,0.3469879518072289
IC-CMA-ES,Base,0.4,15,structure_specific,93,425,0.2188235294117647,0.18075454369682908,0.2527011009321761,531,0.1751412429378531,0.14491525423728815,0.2015065913370998,425,0.800376647834275,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.4,15,common_all_structures_pass,92,415,0.2216867469879518,0.18302632816725853,0.25666754640626377,531,0.17325800376647835,nan,nan,415,0.7815442561205274,323,0.7783132530120482,92,0.2216867469879518
IC-CMA-ES,Base,0.4,20,structure_specific,61,425,0.14352941176470588,0.10927927050882659,0.1788973597740243,531,0.11487758945386065,0.08851224105461393,0.14124293785310735,425,0.800376647834275,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.4,20,common_all_structures_pass,60,415,0.14457831325301204,0.11080362318017026,0.18083138974406812,531,0.11299435028248588,nan,nan,415,0.7815442561205274,355,0.8554216867469879,60,0.14457831325301204
IC-CMA-ES,Base,0.41,10,structure_specific,144,422,0.3412322274881517,nan,nan,531,0.2711864406779661,nan,nan,422,0.7947269303201506,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.41,10,common_all_structures_pass,141,412,0.3422330097087379,nan,nan,531,0.2655367231638418,nan,nan,412,0.775894538606403,271,0.6577669902912622,141,0.3422330097087379
IC-CMA-ES,Base,0.41,15,structure_specific,91,422,0.2156398104265403,nan,nan,531,0.1713747645951036,nan,nan,422,0.7947269303201506,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.41,15,common_all_structures_pass,90,412,0.21844660194174756,nan,nan,531,0.1694915254237288,nan,nan,412,0.775894538606403,322,0.7815533980582524,90,0.21844660194174756
IC-CMA-ES,Base,0.41,20,structure_specific,59,422,0.13981042654028436,nan,nan,531,0.1111111111111111,nan,nan,422,0.7947269303201506,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.41,20,common_all_structures_pass,58,412,0.1407766990291262,nan,nan,531,0.10922787193973635,nan,nan,412,0.775894538606403,354,0.8592233009708737,58,0.1407766990291262
IC-CMA-ES,Base,0.42,10,structure_specific,143,419,0.3412887828162291,nan,nan,531,0.2693032015065913,nan,nan,419,0.7890772128060264,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.42,10,common_all_structures_pass,139,409,0.33985330073349634,nan,nan,531,0.2617702448210923,nan,nan,409,0.7702448210922788,270,0.6601466992665037,139,0.33985330073349634
IC-CMA-ES,Base,0.42,15,structure_specific,90,419,0.21479713603818615,nan,nan,531,0.1694915254237288,nan,nan,419,0.7890772128060264,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.42,15,common_all_structures_pass,88,409,0.21515892420537897,nan,nan,531,0.1657250470809793,nan,nan,409,0.7702448210922788,321,0.784841075794621,88,0.21515892420537897
IC-CMA-ES,Base,0.42,20,structure_specific,58,419,0.13842482100238662,nan,nan,531,0.10922787193973635,nan,nan,419,0.7890772128060264,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.42,20,common_all_structures_pass,57,409,0.1393643031784841,nan,nan,531,0.10734463276836158,nan,nan,409,0.7702448210922788,352,0.8606356968215159,57,0.1393643031784841
IC-CMA-ES,Base,0.43,10,structure_specific,139,412,0.33737864077669905,nan,nan,531,0.2617702448210923,nan,nan,412,0.775894538606403,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.43,10,common_all_structures_pass,137,406,0.3374384236453202,nan,nan,531,0.2580037664783427,nan,nan,406,0.7645951035781544,269,0.6625615763546798,137,0.3374384236453202
IC-CMA-ES,Base,0.43,15,structure_specific,87,412,0.2111650485436893,nan,nan,531,0.1638418079096045,nan,nan,412,0.775894538606403,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.43,15,common_all_structures_pass,86,406,0.21182266009852216,nan,nan,531,0.16195856873822975,nan,nan,406,0.7645951035781544,320,0.7881773399014779,86,0.21182266009852216
IC-CMA-ES,Base,0.43,20,structure_specific,57,412,0.1383495145631068,nan,nan,531,0.10734463276836158,nan,nan,412,0.775894538606403,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.43,20,common_all_structures_pass,56,406,0.13793103448275862,nan,nan,531,0.10546139359698682,nan,nan,406,0.7645951035781544,350,0.8620689655172413,56,0.13793103448275862
IC-CMA-ES,Base,0.44,10,structure_specific,137,409,0.33496332518337407,nan,nan,531,0.2580037664783427,nan,nan,409,0.7702448210922788,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.44,10,common_all_structures_pass,134,403,0.3325062034739454,nan,nan,531,0.2523540489642185,nan,nan,403,0.7589453860640302,269,0.6674937965260546,134,0.3325062034739454
IC-CMA-ES,Base,0.44,15,structure_specific,85,409,0.2078239608801956,nan,nan,531,0.160075329566855,nan,nan,409,0.7702448210922788,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.44,15,common_all_structures_pass,84,403,0.20843672456575682,nan,nan,531,0.15819209039548024,nan,nan,403,0.7589453860640302,319,0.7915632754342432,84,0.20843672456575682
IC-CMA-ES,Base,0.44,20,structure_specific,55,409,0.13447432762836187,nan,nan,531,0.10357815442561205,nan,nan,409,0.7702448210922788,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.44,20,common_all_structures_pass,54,403,0.13399503722084366,nan,nan,531,0.1016949152542373,nan,nan,403,0.7589453860640302,349,0.8660049627791563,54,0.13399503722084366
IC-CMA-ES,Base,0.45,10,structure_specific,135,406,0.33251231527093594,nan,nan,531,0.2542372881355932,nan,nan,406,0.7645951035781544,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.45,10,common_all_structures_pass,133,400,0.3325,nan,nan,531,0.2504708097928437,nan,nan,400,0.7532956685499058,267,0.6675,133,0.3325
IC-CMA-ES,Base,0.45,15,structure_specific,83,406,0.2044334975369458,nan,nan,531,0.15630885122410546,nan,nan,406,0.7645951035781544,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.45,15,common_all_structures_pass,83,400,0.2075,nan,nan,531,0.15630885122410546,nan,nan,400,0.7532956685499058,317,0.7925,83,0.2075
IC-CMA-ES,Base,0.45,20,structure_specific,53,406,0.13054187192118227,nan,nan,531,0.09981167608286252,nan,nan,406,0.7645951035781544,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.45,20,common_all_structures_pass,53,400,0.1325,nan,nan,531,0.09981167608286252,nan,nan,400,0.7532956685499058,347,0.8675,53,0.1325
IC-CMA-ES,Base,0.46,10,structure_specific,135,406,0.33251231527093594,nan,nan,531,0.2542372881355932,nan,nan,406,0.7645951035781544,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.46,10,common_all_structures_pass,133,399,0.3333333333333333,nan,nan,531,0.2504708097928437,nan,nan,399,0.751412429378531,266,0.6666666666666666,133,0.3333333333333333
IC-CMA-ES,Base,0.46,15,structure_specific,83,406,0.2044334975369458,nan,nan,531,0.15630885122410546,nan,nan,406,0.7645951035781544,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.46,15,common_all_structures_pass,83,399,0.20802005012531327,nan,nan,531,0.15630885122410546,nan,nan,399,0.751412429378531,316,0.7919799498746867,83,0.20802005012531327
IC-CMA-ES,Base,0.46,20,structure_specific,53,406,0.13054187192118227,nan,nan,531,0.09981167608286252,nan,nan,406,0.7645951035781544,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.46,20,common_all_structures_pass,53,399,0.13283208020050125,nan,nan,531,0.09981167608286252,nan,nan,399,0.751412429378531,346,0.8671679197994987,53,0.13283208020050125
IC-CMA-ES,Base,0.47,10,structure_specific,134,405,0.3308641975308642,nan,nan,531,0.2523540489642185,nan,nan,405,0.7627118644067796,303,0.5706214689265536,228,0.4293785310734463
IC-CMA-ES,Base,0.47,10,common_all_structures_pass,132,397,0.33249370277078083,nan,nan,531,0.24858757062146894,nan,nan,397,0.7476459510357816,265,0.6675062972292192,132,0.33249370277078083
IC-CMA-ES,Base,0.47,15,structure_specific,82,405,0.20246913580246914,nan,nan,531,0.1544256120527307,nan,nan,405,0.7627118644067796,360,0.6779661016949152,171,0.3220338983050847
IC-CMA-ES,Base,0.47,15,common_all_structures_pass,82,397,0.20654911838790932,nan,nan,531,0.1544256120527307,nan,nan,397,0.7476459510357816,315,0.7934508816120907,82,0.20654911838790932
IC-CMA-ES,Base,0.47,20,structure_specific,52,405,0.12839506172839507,nan,nan,531,0.09792843691148775,nan,nan,405,0.7627118644067796,399,0.751412429378531,132,0.24858757062146894
IC-CMA-ES,Base,0.47,20,common_all_structures_pass,52,397,0.1309823677581864,nan,nan,531,0.09792843691148775,nan,nan,397,0.7476459510357816,345,0.8690176322418136,52,0.1309823677581864
